Counting after Sept 26 2023 only,,,,,,
Gaming,Anime,Movies,TV Series,Visual Novels,Manga,
Ghostwire Tokyo,Suzume no Tojimari (2022),V for Vendetta (2006),Peaky Blinders (S1),YOU and ME and HER: A Love Story,Umineko When They Cry - Episode 1,
Lies of P,Blue Lock,Memories of Murder (2003),Peaky Blinders (S2),[DC] Subarashiki Hibi,Umineko When They Cry - Episode 2,
[DC] Starfield,The Eminence in Shadow (S1),Oppenheimer (2023),Peaky Blinders (S3),ChäoS;HEAd NoAH,Umineko When They Cry - Episode 3,
Like a Dragon: Ishin,The Eminence in Shadow (S2),Event Horizon (1997),Peaky Blinders (S4),Cartagra ~Affliction of the Soul~,Umineko When They Cry - Episode 4,
Alan Wake 2,Jujutsu Kaisen (S2),Dungeons & Dragons: Honor Among Thieves (2023),Monarch: Legacy of Monsters (S1),[DC] Kara no Shoujo,Umineko When They Cry - Episode 5,
Xenoblade Chronicles 3,Vinland Saga (S2),Godzilla Minus One (2023),Invincible (S1),,Umineko When They Cry - Episode 6,
Astral Chain,Attack on Titan Finale,Enola Holmes (2020),"Invincible (S1, S2 Part 1)",,[DC] Shingetsutan Tsukihime,
Bayonetta,[DC] Zom 100: Bucket List of the Dead,Good Newwz (2019),Patal Lok (S1),,Muv-Luv Extra,
Yakuza Kiwami 2,[DC] Sousou no Frieren,Killers of the Flower Moon (2023),Fallout,,Muv-Luv Unlimited,
Like a Dragon Gaiden: The Man Who Erased His Name,Mushoku Tensei (S1 Part 2),Ex-Machina (2014),Westworld (S1),,Hellstar Remina,
Cyberpunk 2077,Kono Subarashii Sekai ni Shukufuku wo! (S3),Dune: Part Two (2024),Silo,,Chainsaw Man (Part 1),
Lost Judgment,Mushoku Tensei (S2),The Ministry of Ungentlemanly Warfare (2024),Shogun,,Muv-Luv Alternative,
Final Fantasy XVI - Echoes of the Fallen DLC,Kimetsu no Yaiba (S3),Godzilla x Kong: The New Empire (2024),The Gentlemen,,Jagaaan,
Marvel's Spider-Man 2,Kimetsu no Yaiba (S4),A Quiet Place: Day One (2024),House of the Dragon (S2),,[DC] Berserk,
Baldur's Gate 3,Girls Band Cry,Twisters (2024),Castlevania (S1),,"Goodbye, Eri",
[DC] Persona 3 Reload,BanG Dream! It's MyGO!!!!!,The Others (2001),Castlevania (S2),,,
Dragon's Dogma 2,NieR Automata Ver1.1a (Part 1),Alien: Romulus (2024),House of Secrets: The Burari Deaths,,,
Elden Ring: Shadow of the Erdtree,[DC] Make Heroine ga Oosugiru,Companion (2025),Castlevania (S3),,,
