Notes,GAMING,,,ANIME,,,LIVE ACTION SERIES,,,LIVE ACTION MOVIES,,,MANGA / Visual Novels,,
,Ongoing,Planned,Investigate,Ongoing,Planned,Investigate,Ongoing,Planned,Investigate,Ongoing,Planned,Investigate,Ongoing,Planned,Investigate
,Persona 3 Reload,FFVII REBIRTH,ANANTA,"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You (S3)",Oshi no Ko (S3),Bakuman,Loki,Euphoria,Mr. Robot,,Shang-Chi and the Legend of the Ten Rings (2021),,,Chainsaw Man Part 2,
,Goddess of Victory: Nikke,FFVII REMAKE,Chrono Odyssey,Mushoku Tensei (S2),Grand Blue (S2),Golden Kamuy,,,,,The Housemaid (2025),,,,
,,Wuthering Waves (When 4.0 starts),Vindictus Defying Fate,,Redline (2009),Orb: On the Movements of the Earth,,House of the Dragon (S3),,,Gattaca (1997),,,,
,,NTE (When 2.0 starts),Atomic Heart II,,Medalist (S2),Tenmaku no Jaadugar,,,,,Alita Battle Angel (2019),,,,
,,,Tides of Annihilation,,Witch Hat Atelier,,,,,,Deadpool & Wolverine (2024),,,,
,,,Azur Promilia,,Jigokuraku (S2),,,,,,Crawl (2019),,,,
,,,Gears of War: E-Day,,,,,,,,The Hateful Eight,,,,
,,,ILL,,,,,,,,The Gorge (2025),,,,
,,,Trails in the Sky 2nd Chapter,,,,,,,,,,,,
,,,Genigods: Nezha,,,,,,,,,,,,
,,,Onimusha: Way of the Sword,,,,,,,,,,,,
,,,SPINE,,,,,,,,,,,,
,,,Phantom Blade Zero,,,,,,,,,,,,
,,,Silver Palace,,,,,,,,,,,,
,,,The Witcher 3: Wild Hunt – Songs of the Past,,,,,,,,,,,,
,,,GTA VI,,,,,,,,,,,,
,,,Chasing KaleidoRIDER,,,,,,,,,,,,
,,,Stranger Than Heaven,,,,,,,,,,,,
,,,Control Resonant,,,,,,,,,,,,
,,,Gang of Dragon,,,,,,,,,,,,
,,,Tomb Raider Legacy of Atlantis,,,,,,,,,,,,
,,,Lords of the Fallen 2,,,,,,,,,,,,
,,,No Law,,,,,,,,,,,,
,,,Divinity,,,,,,,,,,,,
,,,The Expanse: Osiris Reborn,,,,,,,,,,,,
,,,Street Fighter 6,,,,,,,,,,,,
,,,Marvel's Wolverine,,,,,,,,,,,,
,,,Until Dawn 2,,,,,,,,,,,,
,,,Resident Evil Veronica,,,,,,,,,,,,
,,,Blood Message,,,,,,,,,,,,
,,,Crossfire,,,,,,,,,,,,
,,,Star Wars: Galactic Racer,,,,,,,,,,,,
,,,VIRTUA FIGHTER CROSSROADS,,,,,,,,,,,,
,,,Nodusfall,,,,,,,,,,,,
,,,Persona 4 Revival,,,,,,,,,,,,
,,,Metro 2039,,,,,,,,,,,,
,,,Bringer,,,,,,,,,,,,
